model,epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_seconds,is_best,learning_rate
efficientnet_lite0,1,2.068853936336439,0.6328379847770932,0.44491855096017713,2.3213005325500737,0.6155717761557178,0.2051821046065431,164.98699353499998,True,2.5e-05
efficientnet_lite0,2,1.289757087940495,0.8780355201159841,0.6984703396262895,1.9212188132784507,0.7075169676014854,0.21624184318495343,42.81081358399999,True,5e-05
efficientnet_lite0,3,1.1282615093167914,0.9356650960492933,0.8077853407215324,1.8358204478993552,0.7557945959789986,0.24253316778544193,43.469867394000005,True,7.500000000000001e-05
efficientnet_lite0,4,1.0535008209503256,0.9560227135435544,0.8614883635715833,1.5767013406672785,0.7761557177615572,0.266926673586559,43.60583921199998,True,0.0001
efficientnet_lite0,5,0.9971944166146561,0.9700978615440377,0.901115740780665,1.7063105582409206,0.7627096939428865,0.2429266587821345,43.115733818000024,False,9.992483506344915e-05
efficientnet_lite0,6,0.9615123249362896,0.9773468648060891,0.933831939292757,1.5906646417430352,0.7789729798949929,0.2458365365830647,43.10559589999997,False,9.96995685272385e-05
efficientnet_lite0,7,0.9458789152594494,0.9783133985743627,0.9338423951740433,1.8477394841586052,0.7606607760276604,0.22757337648527035,44.060031821999985,False,9.932488451843476e-05
efficientnet_lite0,8,0.9236634352515062,0.9836293342998671,0.949108540144601,1.8671056421800205,0.7600204891791522,0.22080084634942107,43.98191792399996,False,9.880192094005806e-05
efficientnet_lite0,9,0.9140772494953893,0.9859852603600339,0.9568134258187659,1.6956905357713081,0.7620694070943783,0.2217464869934654,43.75503047699999,False,9.81322660153079e-05
efficientnet_lite0,10,0.9045652430840511,0.9880995529781321,0.9626880516904532,1.847543043773167,0.7543859649122807,0.21533487033041507,43.84893874900001,False,9.73179534641814e-05
efficientnet_lite0,11,0.895599449023835,0.9888244533043373,0.9613093648108789,1.6670381258680431,0.7712895377128953,0.2421359254771828,43.84395006,False,9.636145632713268e-05
efficientnet_lite0,12,0.8957218100004062,0.9890056783858886,0.9663680743730672,1.7444879118411818,0.764246382379306,0.23002734263471358,43.42685663899999,False,9.526567945453009e-05
