label,correct,n,n_mask_rejected,n_ratio_undefined,mean_leaf_attribution_ratio,mean_mask_coverage,mean_mask_fragmentation,mean_abs_attribution,mean_dispersion,ratio_reliable,attribution_excess
common_rust,False,1,0,0,0.43013581160413417,0.555305325255102,0.0005024584574525592,0.25550139892143586,0.2595724088772043,True,-0.12516951365096785
common_rust,True,29,0,0,0.8967722292431035,0.7034624329257565,0.00022151968655689897,0.29065487899863507,0.3010396582307937,True,0.19330979631734702
fall_armyworm,True,30,17,0,0.6006288888999697,0.8011705463435373,0.00103719030741574,0.2631330524981292,0.24329619170745312,False,-0.20054165744356767
gray_leaf_spot,False,4,0,0,0.47769528493792696,0.43641382334183676,0.0,0.23552179140774446,0.24813729100966248,True,0.041281461596090196
gray_leaf_spot,True,26,2,0,0.5700796326291432,0.6386435132947409,0.0006926623794877851,0.3048716650783455,0.2615960443464459,True,-0.06856388066559771
healthy,True,30,3,0,0.5382472057957329,0.5783993675595238,0.00010603805476991913,0.32809787117931044,0.28345021510707835,True,-0.04015216176379088
lethal_necrosis,True,30,11,0,0.766370799912113,0.8575182025935374,8.120228951805272e-05,0.3769849790196377,0.2450385737590885,False,-0.0911474026814244
nitrogen_deficiency,False,7,2,0,0.19479179367753122,0.41058331814868804,0.00044584193730054115,0.2951309351803856,0.3199998531151034,True,-0.21579152447115682
nitrogen_deficiency,True,23,2,0,0.3524397784610118,0.30178380795252885,4.8803997047358365e-05,0.258009794459369,0.26145824221694214,True,0.05065597050848297
northern_corn_leaf_blight,True,30,5,0,0.5747993272493575,0.5841850021258502,0.0,0.21521600937853397,0.21589241810881027,True,-0.009385674876492778
phosphorus_deficiency,False,2,0,0,0.16631041636058197,0.19947783801020408,0.0,0.4422406355614889,0.3247334086060174,True,-0.03316742164962211
phosphorus_deficiency,True,28,3,0,0.47379165551202646,0.3778165144405977,0.0,0.24068383674848867,0.25726071646038096,True,0.09597514107142874
potassium_deficiency,False,5,0,0,0.2355381170745968,0.19140625,0.0,0.2470149136894566,0.3068680556958575,True,0.04413186707459679
potassium_deficiency,True,25,10,0,0.3381281692785521,0.5388058035714285,8.007340061723323e-05,0.2480223067592744,0.24961566944080435,False,-0.20067763429287638
