celda,protocolo,configuracion,pliegues,macro_f1_evaluable,macro_f1_evaluable_ic95,macro_f1,macro_f1_ic95,accuracy,accuracy_ic95,control_nulo,control_nulo_ic95,clases_min,clases_max
estratificado_actual,estratificada,por defecto,5,0.9311448207872235,0.0098718701445903,0.9311448207872235,0.0098718701445903,0.9674501330746427,0.0026991872933800867,0.2614188234772572,0.00011407987342594319,9,9
estratificado_afinada,estratificada,hp de b0,5,0.9462812591239136,0.005249593366876604,0.9462812591239136,0.005249593366876604,0.97638828125861,0.002358082829700793,0.2614188234772572,0.00011407987342594319,9,9
agrupado_actual,agrupada,por defecto,5,0.6025752073660193,0.12396616349655723,0.4359441085901178,0.09029438623230265,0.7968997104759317,0.11952894752680979,0.49595038622040777,0.2875072255007224,5,8
agrupado_afinada,agrupada,hp de b0,5,0.6498521685272195,0.15075489486851262,0.47019903256738677,0.11190844018237521,0.7998585391466142,0.10191785098191426,0.49595038622040777,0.2875072255007224,5,8
