fold,macro_f1,accuracy,macro_precision,macro_recall,best_epoch
1,0.9438691800953944,0.9739619985925405,0.9525627557187436,0.9370626828061918,17
2,0.9412503868523842,0.974841660802252,0.9522373300704756,0.931659228716922,20
3,0.9470004161418917,0.9781843771991555,0.953552866931216,0.9412893973041938,19
4,0.9467043843868418,0.9769487946507126,0.9564899765084414,0.938091142828951,15
5,0.9525819281430555,0.9780045750483899,0.9635374942138901,0.9426804373780961,17
