fold,macro_f1,accuracy,macro_precision,macro_recall,best_epoch
1,0.9248085670233874,0.9660450387051372,0.9365361474645737,0.9147995451793055,20
2,0.9299809457906465,0.9685080928923293,0.9463698815777136,0.9169635595043221,18
3,0.9404746221761145,0.9699155524278676,0.9575087855029312,0.9268170461033804,16
4,0.9223972908369313,0.9644553932781982,0.943799045763089,0.9061905132714602,16
5,0.9380626781090373,0.9683265880696815,0.9571707737922421,0.9220434477791897,20
