trial_number,trial_id,state,value,learning_rate,weight_decay,label_smoothing,batch_size,class_weights,warmup_epochs,dropout,scheduler,optimizer,best_epoch,executed_epochs,early_stopped,best_val_loss,best_train_macro_f1,train_macro_f1_at_best_val,train_val_gap,duration_seconds,datetime_start,datetime_complete,run_id,config_sha256,error
15,trial_015,PRUNED,0.9181902933665413,0.0002928976876311631,0.0015986553382393777,0.025,16,sqrt_inverse,1,,cosine,AdamW,9.0,12.0,False,0.3831447726869566,0.9551920512287748,0.94701273705433,0.02356232838509109,702.8619744810003,2026-09-24T00:24:15.699941,2026-09-24T00:35:59.194953,trial_015,cb0970fc2df83f6bf456de392499a1fb690a816bcf09405f47bd7e967ef15476,
16,trial_016,PRUNED,0.8165147692417692,2.3608871075866574e-05,0.004377015410605825,0.15,16,none,3,,cosine,AdamW,7.0,8.0,False,0.8519512522634302,0.891007962025497,0.8787872071625318,0.042168848011987725,464.15394654599913,2026-09-24T00:36:00.599149,2026-09-24T00:43:45.401981,trial_016,0c24bcb615b7798d49326def0aa008c099c413714ead2e4278c55de0054a22c1,
17,trial_017,COMPLETE,0.9387529385273781,0.0004426482453919492,0.007058919813611231,0.075,32,inverse,2,,cosine,AdamW,12.0,20.0,True,0.8534290934484284,0.9688100555836711,0.9514834611544697,0.012730522627091623,1058.5778455419986,2026-09-24T00:44:07.332937,2026-09-24T01:01:46.627044,trial_017,6069dc31e0b14af30958f692f152d9ec499a234552ef6d667a5dc8a838720a0f,
18,trial_018,PRUNED,0.8683609786435911,6.687871744835785e-05,0.0019847822009772336,0.075,16,none,2,,cosine,AdamW,7.0,8.0,False,0.5364289561210042,0.9359744917448793,0.932898121300958,0.06339960749730755,463.38716035200014,2026-09-24T01:01:48.021049,2026-09-24T01:09:32.008338,trial_018,81056ed21736e572a7e0593a1688a011074bffa432c3cc993dec51ea5ac1694d,
19,trial_019,PRUNED,0.8544945017220035,3.273561217569067e-05,0.003181036048246465,0.125,64,sqrt_inverse,1,,cosine,AdamW,7.0,8.0,False,1.0677579927282057,0.9182732825846076,0.9073123668058868,0.04901973960021522,430.7939723849995,2026-09-24T01:09:56.112965,2026-09-24T01:17:07.587991,trial_019,953de13164a5c41601915fd1274675d67840d809770c825f370b495e9af700d0,
20,trial_020,PRUNED,0.8899978853785568,0.0006718623238635295,3.802180660405527e-05,0.05,16,inverse,1,,cosine,AdamW,6.0,8.0,False,0.8441504427361999,0.9238797013035777,0.9065863864583075,0.015642318452942505,470.06439062000027,2026-09-24T01:17:08.934728,2026-09-24T01:24:59.662475,trial_020,b931cadfc1a3df23b41b810dd19af3029b939a3753eabb7238e5ba10dfb38f8c,
21,trial_021,COMPLETE,0.9436068189155551,0.00017784563227803658,0.0010114339762725486,0.05,64,sqrt_inverse,2,,cosine,AdamW,11.0,19.0,True,0.5006320173349533,0.9885896448148167,0.9735545250461889,0.0299477061306338,1014.4474399319988,2026-09-24T01:25:24.750292,2026-09-24T01:42:19.937583,trial_021,16efc94013ad4e0f394b5c0cfc308ac1d6a9d05974e8530543242c9822b778da,
22,trial_022,PRUNED,0.9272786922476567,0.0002220341448277611,0.00022135095501076937,0.075,16,sqrt_inverse,4,,cosine,AdamW,12.0,12.0,False,0.6734232044332472,0.9547339528621317,0.9547339528621317,0.027455260614475008,708.0909187549987,2026-09-24T01:42:21.327267,2026-09-24T01:54:10.005593,trial_022,9680b3ab90a1422b5f87c9275757cef51a76df27f728ab0815789d6e85fef475,
23,trial_023,PRUNED,0.9003895127125426,8.949339289139348e-05,1.102838206618059e-05,0.0,32,sqrt_inverse,1,,cosine,AdamW,8.0,8.0,False,0.3483344751438682,0.9515710824692767,0.9515710824692767,0.05118156975673405,418.1061728630011,2026-09-24T01:54:35.834836,2026-09-24T02:01:34.582790,trial_023,65b3562cd9fdb415eae363d30ab758c5989d7dd6806b283f8136500f9b348b52,
24,trial_024,PRUNED,0.9044755935980814,0.000732267157809368,3.850640466697414e-06,0.1,32,sqrt_inverse,2,,cosine,AdamW,7.0,8.0,False,0.826867810628297,0.9328507348357759,0.9270765484925998,0.019265830360204794,428.2256481529985,2026-09-24T02:01:35.946471,2026-09-24T02:08:44.826141,trial_024,b3ab8e7315f1a5ae9b8e82d13aad5220a2be9d5da127ed2ce178fa6b3eb5de0f,
