rank,trial,val_macro_f1,learning_rate,weight_decay,label_smoothing,batch_size,class_weights,warmup_epochs,dropout,scheduler,best_epoch,duration_seconds,best_train_macro_f1,train_macro_f1_at_best_val,train_val_gap,best_train_val_gap,validation_ece,validation_mean_confidence_correct,validation_mean_confidence_errors,nitrogen_deficiency_f1,phosphorus_deficiency_f1,potassium_deficiency_f1
1,0,0.9572922254288656,8.468008575248323e-05,0.005669849511478858,0.075,16,none,1,,cosine,44,2890.575076439,0.9974215723859532,0.9947451419146387,0.03745291648577309,0.040129346957087586,0.05792522954665005,0.9269231716561327,0.7685920956730843,0.904,0.967032967032967,0.8585858585858586
2,10,0.9542201116449669,8.147857317658701e-05,0.00014505381415853765,0.05,16,sqrt_inverse,1,,cosine,27,2111.1400961189993,0.9926592279771891,0.9846197397630088,0.030399628118041866,0.03843911633222219,0.0714544058202699,0.9128629732907402,0.7649499494921077,0.9112903225806451,0.9597069597069597,0.8663101604278075
3,6,0.9536286932679471,0.0001971844222061614,1.3731092468240299e-05,0.0,32,sqrt_inverse,1,,cosine,50,3105.26846976,0.9997434216381349,0.9982430200761107,0.044614326808163574,0.04611472837018782,0.015618175410824988,0.9973914794009918,0.9156438419313142,0.8861788617886179,0.9602888086642599,0.8571428571428571
4,1,0.9482177031656066,5.670807781371427e-05,4.205156450913872e-05,0.025,64,none,1,,cosine,49,3051.118304968,0.9989398858766765,0.9962611126723306,0.04804340950672403,0.050722182711069874,0.0203903746298219,0.9609361016621105,0.7099684846401214,0.8818897637795275,0.9454545454545454,0.8666666666666667
5,21,0.9436068189155551,0.00017784563227803658,0.0010114339762725486,0.05,64,sqrt_inverse,2,,cosine,11,1014.4474399319988,0.9885896448148167,0.9735545250461889,0.0299477061306338,0.044982825899261614,0.07742364497466726,0.9024517537323904,0.6498943528643361,0.864,0.9571428571428572,0.8351648351648352
6,5,0.9422869982777625,0.0013740794394697655,0.00013076473382928543,0.0,16,inverse,3,,cosine,52,3510.2720750430003,0.9932632495565519,0.9894904532173473,0.04720345493958478,0.05097625127878935,0.017314335223588953,0.9949619680844161,0.8812624504411124,0.856,0.9436619718309859,0.8125
7,17,0.9387529385273781,0.0004426482453919492,0.007058919813611231,0.075,32,inverse,2,,cosine,12,1058.5778455419986,0.9688100555836711,0.9514834611544697,0.012730522627091623,0.030057117056292992,0.21022297948967378,0.7662361078545427,0.6000652660576391,0.8492063492063492,0.9257950530035336,0.8387096774193549
8,3,0.9359111400035606,0.0002260828676373493,8.399864445957497e-07,0.15,16,none,2,,cosine,12,1125.946786006,0.9730262969116039,0.9549330292958265,0.019021889292265892,0.037115156908043345,0.1232277279088922,0.8526750033606663,0.6414904442562419,0.8816326530612245,0.948905109489051,0.7955801104972375
