Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-rfTblk3JSwwRAo38DB7N3G
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=colour_strong pliegues=11 clases=9 device=cuda
[*] reanudando: 1 pliegues ya hechos, faltan 10
    [maize-beans-tomatoes-africa] border_ring: acierto 0.3547
    [maize-deficiency-scanner-roboflow] epoca 1 val_macro_f1=0.2299
    [maize-deficiency-scanner-roboflow] epoca 2 val_macro_f1=0.3662
    [maize-deficiency-scanner-roboflow] epoca 3 val_macro_f1=0.3843
    [maize-deficiency-scanner-roboflow] epoca 4 val_macro_f1=0.4692
    [maize-deficiency-scanner-roboflow] epoca 5 val_macro_f1=0.4812
    [maize-deficiency-scanner-roboflow] epoca 6 val_macro_f1=0.4828
    [maize-deficiency-scanner-roboflow] epoca 7 val_macro_f1=0.4838
    [maize-deficiency-scanner-roboflow] epoca 8 val_macro_f1=0.4899
    [maize-deficiency-scanner-roboflow] epoca 9 val_macro_f1=0.4921
    [maize-deficiency-scanner-roboflow] epoca 10 val_macro_f1=0.4909
    [maize-deficiency-scanner-roboflow] epoca 11 val_macro_f1=0.4922
    [maize-deficiency-scanner-roboflow] epoca 12 val_macro_f1=0.4925
    [maize-deficiency-scanner-roboflow] epoca 13 val_macro_f1=0.4957
    [maize-deficiency-scanner-roboflow] epoca 14 val_macro_f1=0.4932
    [maize-deficiency-scanner-roboflow] epoca 15 val_macro_f1=0.5946
    [maize-deficiency-scanner-roboflow] epoca 16 val_macro_f1=0.4948
    [maize-deficiency-scanner-roboflow] epoca 17 val_macro_f1=0.4945
    [maize-deficiency-scanner-roboflow] epoca 18 val_macro_f1=0.5946
    [maize-deficiency-scanner-roboflow] epoca 19 val_macro_f1=0.4975
    [maize-deficiency-scanner-roboflow] epoca 20 val_macro_f1=0.4961
    [maize-deficiency-scanner-roboflow] epoca 21 val_macro_f1=0.4948
    [maize-deficiency-scanner-roboflow] epoca 22 val_macro_f1=0.4240
    [maize-deficiency-scanner-roboflow] epoca 23 val_macro_f1=0.5954
    [maize-deficiency-scanner-roboflow] epoca 24 val_macro_f1=0.4978
    [maize-deficiency-scanner-roboflow] epoca 25 val_macro_f1=0.4957
    [maize-deficiency-scanner-roboflow] epoca 26 val_macro_f1=0.4244
    [maize-deficiency-scanner-roboflow] epoca 27 val_macro_f1=0.4245
    [maize-deficiency-scanner-roboflow] epoca 28 val_macro_f1=0.5963
    [maize-deficiency-scanner-roboflow] epoca 29 val_macro_f1=0.5985
    [maize-deficiency-scanner-roboflow] epoca 30 val_macro_f1=0.4971
    [maize-deficiency-scanner-roboflow] epoca 31 val_macro_f1=0.5962
    [maize-deficiency-scanner-roboflow] epoca 32 val_macro_f1=0.4972
    [maize-deficiency-scanner-roboflow] epoca 33 val_macro_f1=0.4243
    [maize-deficiency-scanner-roboflow] epoca 34 val_macro_f1=0.5941
    [maize-deficiency-scanner-roboflow] original: acierto 0.8861
    [maize-deficiency-scanner-roboflow] border_ring: acierto 0.0000
    [maize-diseases] epoca 1 val_macro_f1=0.0570
    [maize-diseases] epoca 2 val_macro_f1=0.0641
    [maize-diseases] epoca 3 val_macro_f1=0.0820
    [maize-diseases] epoca 4 val_macro_f1=0.0927
    [maize-diseases] epoca 5 val_macro_f1=0.0876
    [maize-diseases] epoca 6 val_macro_f1=0.0950
    [maize-diseases] epoca 7 val_macro_f1=0.1167
    [maize-diseases] epoca 8 val_macro_f1=0.0920
    [maize-diseases] epoca 9 val_macro_f1=0.1571
    [maize-diseases] epoca 10 val_macro_f1=0.1107
    [maize-diseases] epoca 11 val_macro_f1=0.1113
    [maize-diseases] epoca 12 val_macro_f1=0.1145
    [maize-diseases] epoca 13 val_macro_f1=0.1195
    [maize-diseases] epoca 14 val_macro_f1=0.1107
    [maize-diseases] original: acierto 0.9788
    [maize-diseases] border_ring: acierto 0.6221
    [maize-in-field-dataset] epoca 1 val_macro_f1=0.0218
