Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-iYHr4i5T4P5Q9Fvq7za0Wj
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=crop_all pliegues=11 clases=9 device=cuda
    [corn-leaf-diseases-classification-roboflow] epoca 1 val_macro_f1=0.1407
Stopping app - user stopped from dashboard.
Traceback (most recent call last)    [corn-leaf-diseases-classification-roboflow] epoca 3 val_macro_f1=0.2103
    [maize-2-roboflow] epoca 10 val_macro_f1=0.3514
    [maize-2-roboflow] epoca 11 val_macro_f1=0.4214
    [maize-2-roboflow] epoca 12 val_macro_f1=0.3810
    [maize-2-roboflow] epoca 13 val_macro_f1=0.3801
    [maize-2-roboflow] original: acierto 0.3160
    [maize-2-roboflow] border_ring: acierto 0.0095
    [maize-beans-tomatoes-africa] epoca 1 val_macro_f1=0.0875
    [maize-beans-tomatoes-africa] epoca 2 val_macro_f1=0.1587
    [maize-beans-tomatoes-africa] epoca 3 val_macro_f1=0.1720
    [maize-beans-tomatoes-africa] epoca 4 val_macro_f1=0.2002
    [maize-beans-tomatoes-africa] epoca 5 val_macro_f1=0.2020
    [maize-beans-tomatoes-africa] epoca 6 val_macro_f1=0.2456
    [maize-beans-tomatoes-africa] epoca 7 val_macro_f1=0.2059
    [maize-beans-tomatoes-africa] epoca 8 val_macro_f1=0.2869
    [maize-beans-tomatoes-africa] epoca 9 val_macro_f1=0.3185
    [maize-beans-tomatoes-africa] epoca 10 val_macro_f1=0.3108
    [maize-beans-tomatoes-africa] epoca 11 val_macro_f1=0.3382
    [maize-beans-tomatoes-africa] epoca 12 val_macro_f1=0.3213
    [maize-beans-tomatoes-africa] epoca 13 val_macro_f1=0.2942
