Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-jYg8kMIxZ7iHnRE4h9xjnH
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=baseline pliegues=11 clases=9 device=cuda
[*] reanudando: 2 pliegues ya hechos, faltan 9
    [maize-deficiency-scanner-roboflow] epoca 3 val_macro_f1=0.3093
    [maize-deficiency-scanner-roboflow] epoca 4 val_macro_f1=0.3183
    [maize-deficiency-scanner-roboflow] epoca 5 val_macro_f1=0.4124
    [maize-deficiency-scanner-roboflow] epoca 6 val_macro_f1=0.3649
    [maize-deficiency-scanner-roboflow] epoca 7 val_macro_f1=0.4913
    [maize-deficiency-scanner-roboflow] epoca 8 val_macro_f1=0.4189
    [maize-deficiency-scanner-roboflow] epoca 9 val_macro_f1=0.4220
    [maize-deficiency-scanner-roboflow] epoca 10 val_macro_f1=0.4213
    [maize-deficiency-scanner-roboflow] epoca 11 val_macro_f1=0.4236
    [maize-deficiency-scanner-roboflow] epoca 12 val_macro_f1=0.4943
    [maize-deficiency-scanner-roboflow] epoca 13 val_macro_f1=0.4926
    [maize-deficiency-scanner-roboflow] epoca 14 val_macro_f1=0.4918
    [maize-deficiency-scanner-roboflow] epoca 15 val_macro_f1=0.4953
    [maize-deficiency-scanner-roboflow] epoca 16 val_macro_f1=0.5960
    [maize-deficiency-scanner-roboflow] epoca 17 val_macro_f1=0.4960
    [maize-deficiency-scanner-roboflow] epoca 18 val_macro_f1=0.5943
    [maize-deficiency-scanner-roboflow] epoca 19 val_macro_f1=0.4937
    [maize-deficiency-scanner-roboflow] epoca 20 val_macro_f1=0.4956
    [maize-deficiency-scanner-roboflow] epoca 21 val_macro_f1=0.4964
    [maize-deficiency-scanner-roboflow] original: acierto 0.7722
    [maize-deficiency-scanner-roboflow] border_ring: acierto 0.1899
    [maize-diseases] epoca 1 val_macro_f1=0.0800
    [maize-diseases] epoca 2 val_macro_f1=0.0952
    [maize-diseases] epoca 3 val_macro_f1=0.0941
    [maize-diseases] epoca 4 val_macro_f1=0.1035
    [maize-diseases] epoca 5 val_macro_f1=0.1076
    [maize-diseases] epoca 6 val_macro_f1=0.0929
    [maize-diseases] epoca 7 val_macro_f1=0.1280
    [maize-diseases] epoca 8 val_macro_f1=0.1175
    [maize-diseases] epoca 9 val_macro_f1=0.1340
    [maize-diseases] epoca 10 val_macro_f1=0.1294
    [maize-diseases] epoca 11 val_macro_f1=0.1191
    [maize-diseases] epoca 12 val_macro_f1=0.1142
    [maize-diseases] epoca 13 val_macro_f1=0.1367
    [maize-diseases] epoca 14 val_macro_f1=0.1242
    [maize-diseases] epoca 15 val_macro_f1=0.1159
    [maize-diseases] epoca 16 val_macro_f1=0.1321
    [maize-diseases] epoca 17 val_macro_f1=0.1296
    [maize-diseases] epoca 18 val_macro_f1=0.1271
    [maize-diseases] original: acierto 0.9891
    [maize-diseases] border_ring: acierto 0.7049
    [maize-in-field-dataset] epoca 1 val_macro_f1=0.0245
    [maize-in-field-dataset] epoca 2 val_macro_f1=0.0433
    [maize-in-field-dataset] epoca 3 val_macro_f1=0.0822
    [maize-in-field-dataset] epoca 4 val_macro_f1=0.0623
    [maize-in-field-dataset] epoca 5 val_macro_f1=0.0794
    [maize-in-field-dataset] epoca 6 val_macro_f1=0.0739
    [maize-in-field-dataset] epoca 7 val_macro_f1=0.0866
    [maize-in-field-dataset] epoca 8 val_macro_f1=0.0858
    [maize-in-field-dataset] epoca 9 val_macro_f1=0.0915
    [maize-in-field-dataset] epoca 10 val_macro_f1=0.1183
    [maize-in-field-dataset] epoca 11 val_macro_f1=0.1017
    [maize-in-field-dataset] epoca 12 val_macro_f1=0.0942
    [maize-in-field-dataset] epoca 13 val_macro_f1=0.0936
    [maize-in-field-dataset] epoca 14 val_macro_f1=0.1096
    [maize-in-field-dataset] epoca 15 val_macro_f1=0.1089
    [maize-in-field-dataset] original: acierto 0.4935
    [maize-in-field-dataset] border_ring: acierto 0.3114
    [maize-leaf-roboflow] epoca 1 val_macro_f1=0.0775
    [maize-leaf-roboflow] epoca 2 val_macro_f1=0.0816
    [maize-leaf-roboflow] epoca 3 val_macro_f1=0.0938
    [maize-leaf-roboflow] epoca 4 val_macro_f1=0.1032
    [maize-leaf-roboflow] epoca 5 val_macro_f1=0.1003
    [maize-leaf-roboflow] epoca 6 val_macro_f1=0.1006
    [maize-leaf-roboflow] epoca 7 val_macro_f1=0.0965
    [maize-leaf-roboflow] epoca 8 val_macro_f1=0.0913
    [maize-leaf-roboflow] epoca 9 val_macro_f1=0.1177
    [maize-leaf-roboflow] epoca 10 val_macro_f1=0.0926
    [maize-leaf-roboflow] epoca 11 val_macro_f1=0.0866
    [maize-leaf-roboflow] epoca 12 val_macro_f1=0.1078
    [maize-leaf-roboflow] epoca 13 val_macro_f1=0.1070
    [maize-leaf-roboflow] epoca 14 val_macro_f1=0.1040
    [maize-leaf-roboflow] original: acierto 0.4924
    [maize-leaf-roboflow] border_ring: acierto 0.0755
    [maize-nutrient-deficiency] epoca 1 val_macro_f1=0.2395
    [maize-nutrient-deficiency] epoca 2 val_macro_f1=0.2733
    [maize-nutrient-deficiency] epoca 3 val_macro_f1=0.2759
    [maize-nutrient-deficiency] epoca 4 val_macro_f1=0.2857
    [maize-nutrient-deficiency] epoca 5 val_macro_f1=0.2952
    [maize-nutrient-deficiency] epoca 6 val_macro_f1=0.2936
    [maize-nutrient-deficiency] epoca 7 val_macro_f1=0.2905
    [maize-nutrient-deficiency] epoca 8 val_macro_f1=0.2904
    [maize-nutrient-deficiency] epoca 9 val_macro_f1=0.3026
    [maize-nutrient-deficiency] epoca 10 val_macro_f1=0.3004
    [maize-nutrient-deficiency] epoca 11 val_macro_f1=0.2961
    [maize-nutrient-deficiency] epoca 12 val_macro_f1=0.3014
    [maize-nutrient-deficiency] epoca 13 val_macro_f1=0.2992
    [maize-nutrient-deficiency] epoca 14 val_macro_f1=0.3018
    [maize-nutrient-deficiency] original: acierto 0.2819
    [maize-nutrient-deficiency] border_ring: acierto 0.2166
    [multicrop-disease-maiz] epoca 1 val_macro_f1=0.0456
    [multicrop-disease-maiz] epoca 2 val_macro_f1=0.0497
    [multicrop-disease-maiz] epoca 3 val_macro_f1=0.0505
    [multicrop-disease-maiz] epoca 4 val_macro_f1=0.0672
    [multicrop-disease-maiz] epoca 5 val_macro_f1=0.0661
    [multicrop-disease-maiz] epoca 6 val_macro_f1=0.0667
    [multicrop-disease-maiz] epoca 7 val_macro_f1=0.0749
    [multicrop-disease-maiz] epoca 8 val_macro_f1=0.0791
    [multicrop-disease-maiz] epoca 9 val_macro_f1=0.0822
    [multicrop-disease-maiz] epoca 10 val_macro_f1=0.0883
    [multicrop-disease-maiz] epoca 11 val_macro_f1=0.1056
    [multicrop-disease-maiz] epoca 12 val_macro_f1=0.0920
    [multicrop-disease-maiz] epoca 13 val_macro_f1=0.0918
    [multicrop-disease-maiz] epoca 14 val_macro_f1=0.1140
    [multicrop-disease-maiz] epoca 15 val_macro_f1=0.0996
    [multicrop-disease-maiz] epoca 16 val_macro_f1=0.0755
    [multicrop-disease-maiz] epoca 17 val_macro_f1=0.0845
    [multicrop-disease-maiz] epoca 18 val_macro_f1=0.1046
    [multicrop-disease-maiz] epoca 19 val_macro_f1=0.0890
    [multicrop-disease-maiz] original: acierto 0.7942
    [multicrop-disease-maiz] border_ring: acierto 0.4936
[*] macro-F1 0.6388 | marco 0.2100 | dependencia 32.9%
[*] resultados en /outputs/experiments/aligned_source_baseline.json
✓ App completed. View run at 
https://modal.com/apps/daiv05/main/ap-jYg8kMIxZ7iHnRE4h9xjnH
