Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-m1gF2HNZAyFiFbNEksT4Rq
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=colour_strong pliegues=11 clases=9 device=cuda
    [maize-2-roboflow] epoca 9 val_macro_f1=0.3993
    [maize-2-roboflow] epoca 10 val_macro_f1=0.4022
    [maize-2-roboflow] epoca 11 val_macro_f1=0.3924
    [maize-2-roboflow] epoca 12 val_macro_f1=0.4003
    [maize-2-roboflow] epoca 13 val_macro_f1=0.3973
    [maize-2-roboflow] epoca 14 val_macro_f1=0.3994
    [maize-2-roboflow] epoca 15 val_macro_f1=0.4010
    [maize-2-roboflow] epoca 16 val_macro_f1=0.3968
    [maize-2-roboflow] epoca 17 val_macro_f1=0.3954
    [maize-2-roboflow] epoca 18 val_macro_f1=0.4010
    [maize-2-roboflow] original: acierto 0.4876
    [maize-2-roboflow] border_ring: acierto 0.0237
    [maize-beans-tomatoes-africa] epoca 1 val_macro_f1=0.1233
    [maize-beans-tomatoes-africa] epoca 2 val_macro_f1=0.1634
    [maize-beans-tomatoes-africa] epoca 3 val_macro_f1=0.2225
    [maize-beans-tomatoes-africa] epoca 4 val_macro_f1=0.2441
    [maize-beans-tomatoes-africa] epoca 5 val_macro_f1=0.3295
    [maize-beans-tomatoes-africa] epoca 6 val_macro_f1=0.3511
    [maize-beans-tomatoes-africa] epoca 7 val_macro_f1=0.4562
    [maize-beans-tomatoes-africa] epoca 8 val_macro_f1=0.3624
    [maize-beans-tomatoes-africa] epoca 9 val_macro_f1=0.4863
    [maize-beans-tomatoes-africa] epoca 10 val_macro_f1=0.4409
    [maize-beans-tomatoes-africa] epoca 11 val_macro_f1=0.3984
    [maize-beans-tomatoes-africa] epoca 12 val_macro_f1=0.3826
    [maize-beans-tomatoes-africa] epoca 13 val_macro_f1=0.4967
    [maize-beans-tomatoes-africa] epoca 14 val_macro_f1=0.5108
    [maize-beans-tomatoes-africa] epoca 15 val_macro_f1=0.4144
    [maize-beans-tomatoes-africa] epoca 16 val_macro_f1=0.4133
    [maize-beans-tomatoes-africa] epoca 17 val_macro_f1=0.3656
    [maize-beans-tomatoes-africa] epoca 18 val_macro_f1=0.4282
    [maize-beans-tomatoes-africa] epoca 19 val_macro_f1=0.3542
    [maize-beans-tomatoes-africa] epoca 20 val_macro_f1=0.4308
    [maize-beans-tomatoes-africa] epoca 21 val_macro_f1=0.4348
    [maize-beans-tomatoes-africa] epoca 22 val_macro_f1=0.4324
    [maize-beans-tomatoes-africa] original: acierto 0.8890
    [maize-beans-tomatoes-africa] border_ring: acierto 0.2795
    [maize-deficiency-scanner-roboflow] epoca 1 val_macro_f1=0.2413
    [maize-deficiency-scanner-roboflow] epoca 2 val_macro_f1=0.2956
    [maize-deficiency-scanner-roboflow] epoca 3 val_macro_f1=0.3095
    [maize-deficiency-scanner-roboflow] epoca 4 val_macro_f1=0.3160
    [maize-deficiency-scanner-roboflow] epoca 5 val_macro_f1=0.3205
    [maize-deficiency-scanner-roboflow] epoca 6 val_macro_f1=0.3225
    [maize-deficiency-scanner-roboflow] epoca 7 val_macro_f1=0.3272
    [maize-deficiency-scanner-roboflow] epoca 8 val_macro_f1=0.3282
    [maize-deficiency-scanner-roboflow] epoca 9 val_macro_f1=0.3285
    [maize-deficiency-scanner-roboflow] epoca 10 val_macro_f1=0.3303
    [maize-deficiency-scanner-roboflow] epoca 11 val_macro_f1=0.3666
    [maize-deficiency-scanner-roboflow] epoca 12 val_macro_f1=0.3275
    [maize-deficiency-scanner-roboflow] epoca 13 val_macro_f1=0.3688
    [maize-deficiency-scanner-roboflow] epoca 14 val_macro_f1=0.3281
    [maize-deficiency-scanner-roboflow] epoca 15 val_macro_f1=0.3710
    [maize-deficiency-scanner-roboflow] epoca 16 val_macro_f1=0.3698
    [maize-deficiency-scanner-roboflow] epoca 17 val_macro_f1=0.3709
    [maize-deficiency-scanner-roboflow] epoca 18 val_macro_f1=0.3703
    [maize-deficiency-scanner-roboflow] epoca 19 val_macro_f1=0.3707
    [maize-deficiency-scanner-roboflow] epoca 20 val_macro_f1=0.3705
    [maize-deficiency-scanner-roboflow] epoca 21 val_macro_f1=0.3715
    [maize-deficiency-scanner-roboflow] epoca 22 val_macro_f1=0.3714
    [maize-deficiency-scanner-roboflow] epoca 23 val_macro_f1=0.3722
    [maize-deficiency-scanner-roboflow] epoca 24 val_macro_f1=0.3712
    [maize-deficiency-scanner-roboflow] epoca 25 val_macro_f1=0.3724
    [maize-deficiency-scanner-roboflow] epoca 26 val_macro_f1=0.3715
    [maize-deficiency-scanner-roboflow] epoca 27 val_macro_f1=0.4254
    [maize-deficiency-scanner-roboflow] epoca 28 val_macro_f1=0.3724
    [maize-deficiency-scanner-roboflow] epoca 29 val_macro_f1=0.3723
    [maize-deficiency-scanner-roboflow] epoca 30 val_macro_f1=0.3722
    [maize-deficiency-scanner-roboflow] epoca 31 val_macro_f1=0.3723
    [maize-deficiency-scanner-roboflow] epoca 32 val_macro_f1=0.3724
    [maize-deficiency-scanner-roboflow] epoca 33 val_macro_f1=0.3725
    [maize-deficiency-scanner-roboflow] epoca 34 val_macro_f1=0.3719
    [maize-deficiency-scanner-roboflow] epoca 35 val_macro_f1=0.3719
    [maize-deficiency-scanner-roboflow] original: acierto 0.8608
    [maize-deficiency-scanner-roboflow] border_ring: acierto 0.0253
    [maize-diseases] epoca 1 val_macro_f1=0.0782
    [maize-diseases] epoca 2 val_macro_f1=0.0882
    [maize-diseases] epoca 3 val_macro_f1=0.1125
    [maize-diseases] epoca 4 val_macro_f1=0.1168
    [maize-diseases] epoca 5 val_macro_f1=0.1284
    [maize-diseases] epoca 6 val_macro_f1=0.1378
    [maize-diseases] epoca 7 val_macro_f1=0.1391
    [maize-diseases] epoca 8 val_macro_f1=0.1398
    [maize-diseases] epoca 9 val_macro_f1=0.1408
    [maize-diseases] epoca 10 val_macro_f1=0.1412
    [maize-diseases] epoca 11 val_macro_f1=0.1339
    [maize-diseases] epoca 12 val_macro_f1=0.1382
    [maize-diseases] epoca 13 val_macro_f1=0.1416
    [maize-diseases] epoca 14 val_macro_f1=0.1397
    [maize-diseases] epoca 15 val_macro_f1=0.1446
    [maize-diseases] epoca 16 val_macro_f1=0.1362
    [maize-diseases] epoca 17 val_macro_f1=0.1560
    [maize-diseases] epoca 18 val_macro_f1=0.1423
    [maize-diseases] epoca 19 val_macro_f1=0.1441
    [maize-diseases] epoca 20 val_macro_f1=0.1720
    [maize-diseases] epoca 21 val_macro_f1=0.1452
    [maize-diseases] epoca 22 val_macro_f1=0.1545
    [maize-diseases] epoca 23 val_macro_f1=0.1352
    [maize-diseases] epoca 24 val_macro_f1=0.1413
    [maize-diseases] epoca 25 val_macro_f1=0.1490
    [maize-diseases] epoca 26 val_macro_f1=0.1423
    [maize-diseases] epoca 27 val_macro_f1=0.1592
    [maize-diseases] epoca 28 val_macro_f1=0.1619
    [maize-diseases] original: acierto 0.9875
    [maize-diseases] border_ring: acierto 0.8429
    [maize-in-field-dataset] epoca 1 val_macro_f1=0.0566
    [maize-in-field-dataset] epoca 2 val_macro_f1=0.0892
    [maize-in-field-dataset] epoca 3 val_macro_f1=0.0998
    [maize-in-field-dataset] epoca 4 val_macro_f1=0.1107
    [maize-in-field-dataset] epoca 5 val_macro_f1=0.1128
    [maize-in-field-dataset] epoca 6 val_macro_f1=0.1125
    [maize-in-field-dataset] epoca 7 val_macro_f1=0.1097
    [maize-in-field-dataset] epoca 8 val_macro_f1=0.1327
    [maize-in-field-dataset] epoca 9 val_macro_f1=0.1339
    [maize-in-field-dataset] epoca 10 val_macro_f1=0.1309
    [maize-in-field-dataset] epoca 11 val_macro_f1=0.1294
    [maize-in-field-dataset] epoca 12 val_macro_f1=0.1150
    [maize-in-field-dataset] epoca 13 val_macro_f1=0.1172
    [maize-in-field-dataset] epoca 14 val_macro_f1=0.1582
    [maize-in-field-dataset] epoca 15 val_macro_f1=0.1161
    [maize-in-field-dataset] epoca 16 val_macro_f1=0.1314
    [maize-in-field-dataset] epoca 17 val_macro_f1=0.1172
    [maize-in-field-dataset] epoca 18 val_macro_f1=0.1157
    [maize-in-field-dataset] epoca 19 val_macro_f1=0.1170
    [maize-in-field-dataset] epoca 20 val_macro_f1=0.1167
    [maize-in-field-dataset] epoca 21 val_macro_f1=0.1161
    [maize-in-field-dataset] epoca 22 val_macro_f1=0.1159
    [maize-in-field-dataset] original: acierto 0.5758
    [maize-in-field-dataset] border_ring: acierto 0.0059
    [maize-leaf-roboflow] epoca 1 val_macro_f1=0.0736
    [maize-leaf-roboflow] epoca 2 val_macro_f1=0.0730
    [maize-leaf-roboflow] epoca 3 val_macro_f1=0.0913
    [maize-leaf-roboflow] epoca 4 val_macro_f1=0.0802
    [maize-leaf-roboflow] epoca 5 val_macro_f1=0.0830
    [maize-leaf-roboflow] epoca 6 val_macro_f1=0.0780
    [maize-leaf-roboflow] epoca 7 val_macro_f1=0.0914
    [maize-leaf-roboflow] epoca 8 val_macro_f1=0.0967
    [maize-leaf-roboflow] epoca 9 val_macro_f1=0.0805
    [maize-leaf-roboflow] epoca 10 val_macro_f1=0.0790
    [maize-leaf-roboflow] epoca 11 val_macro_f1=0.0746
    [maize-leaf-roboflow] epoca 12 val_macro_f1=0.0837
    [maize-leaf-roboflow] epoca 13 val_macro_f1=0.0955
    [maize-leaf-roboflow] epoca 14 val_macro_f1=0.0826
    [maize-leaf-roboflow] epoca 15 val_macro_f1=0.0727
